Experiment,Kamera,SR_lD,SceneID,weight,Basisszenario,Links_RVA,Tr_li-Breite,Tr_li-Art,Tr_li_baulTrennung,RVA-Breite,Tr_re-Breite,Tr_re-Art,GW-Breite,GW-Geschäftsnutzung,Häuserfront,Raus
CP,C,1,01_CP_C_1,1,1,Parken,0.0,-,-,2.0,0.0,-,schmal,-,normal,
CP,C,2,01_CP_C_2,1,1,Parken,0.25,Grünstreifen,-,2.0,0.0,-,schmal,-,normal,
CP,C,3,01_CP_C_3,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.0,-,schmal,-,normal,
CP,C,4,01_CP_C_4,1,1,Parken,0.75,Grünstreifen,-,2.0,0.0,-,schmal,-,normal,
CP,C,5,01_CP_C_5,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.0,-,schmal,-,normal,
CP,C,6,01_CP_C_6,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.0,-,schmal,-,normal,
CP,C,7,01_CP_C_7,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.0,-,schmal,-,normal,
CP,C,8,01_CP_C_8,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.0,-,schmal,-,normal,
CP,C,9,01_CP_C_9,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.0,-,schmal,-,normal,
CP,C,10,01_CP_C_10,1,1,Parken,0.0,-,-,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,11,01_CP_C_11,1,1,Parken,0.25,Grünstreifen,-,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,12,01_CP_C_12,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,13,01_CP_C_13,1,1,Parken,0.75,Grünstreifen,-,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,14,01_CP_C_14,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,15,01_CP_C_15,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,16,01_CP_C_16,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,17,01_CP_C_17,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,18,01_CP_C_18,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,-,normal,
CP,C,19,01_CP_C_19,1,1,Parken,0.0,-,-,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,20,01_CP_C_20,1,1,Parken,0.25,Grünstreifen,-,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,21,01_CP_C_21,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,22,01_CP_C_22,1,1,Parken,0.75,Grünstreifen,-,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,23,01_CP_C_23,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,24,01_CP_C_24,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,25,01_CP_C_25,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,26,01_CP_C_26,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,27,01_CP_C_27,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,-,normal,
CP,C,28,01_CP_C_28,1,1,Parken,0.0,-,-,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,29,01_CP_C_29,1,1,Parken,0.25,Grünstreifen,-,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,30,01_CP_C_30,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,31,01_CP_C_31,1,1,Parken,0.75,Grünstreifen,-,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,32,01_CP_C_32,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,33,01_CP_C_33,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,34,01_CP_C_34,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,35,01_CP_C_35,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,36,01_CP_C_36,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,-,normal,
CP,C,37,01_CP_C_37,1,1,Parken,0.0,-,-,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,38,01_CP_C_38,1,1,Parken,0.25,Grünstreifen,-,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,39,01_CP_C_39,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,40,01_CP_C_40,1,1,Parken,0.75,Grünstreifen,-,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,41,01_CP_C_41,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,42,01_CP_C_42,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,43,01_CP_C_43,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,44,01_CP_C_44,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,45,01_CP_C_45,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.75,Aufpflasterung,schmal,-,normal,
CP,C,46,01_CP_C_46,1,1,Parken,0.0,-,-,2.0,0.0,-,schmal,ja,normal,
CP,C,47,01_CP_C_47,1,1,Parken,0.25,Grünstreifen,-,2.0,0.0,-,schmal,ja,normal,
CP,C,48,01_CP_C_48,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.0,-,schmal,ja,normal,
CP,C,49,01_CP_C_49,1,1,Parken,0.75,Grünstreifen,-,2.0,0.0,-,schmal,ja,normal,
CP,C,50,01_CP_C_50,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.0,-,schmal,ja,normal,
CP,C,51,01_CP_C_51,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.0,-,schmal,ja,normal,
CP,C,52,01_CP_C_52,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.0,-,schmal,ja,normal,
CP,C,53,01_CP_C_53,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.0,-,schmal,ja,normal,
CP,C,54,01_CP_C_54,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.0,-,schmal,ja,normal,
CP,C,55,01_CP_C_55,1,1,Parken,0.0,-,-,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,56,01_CP_C_56,1,1,Parken,0.25,Grünstreifen,-,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,57,01_CP_C_57,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,58,01_CP_C_58,1,1,Parken,0.75,Grünstreifen,-,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,59,01_CP_C_59,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,60,01_CP_C_60,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,61,01_CP_C_61,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,62,01_CP_C_62,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,63,01_CP_C_63,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.25,Grünstreifen,schmal,ja,normal,
CP,C,64,01_CP_C_64,1,1,Parken,0.0,-,-,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,65,01_CP_C_65,1,1,Parken,0.25,Grünstreifen,-,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,66,01_CP_C_66,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,67,01_CP_C_67,1,1,Parken,0.75,Grünstreifen,-,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,68,01_CP_C_68,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,69,01_CP_C_69,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,70,01_CP_C_70,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,71,01_CP_C_71,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,72,01_CP_C_72,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.75,Grünstreifen,schmal,ja,normal,
CP,C,73,01_CP_C_73,1,1,Parken,0.0,-,-,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,74,01_CP_C_74,1,1,Parken,0.25,Grünstreifen,-,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,75,01_CP_C_75,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,76,01_CP_C_76,1,1,Parken,0.75,Grünstreifen,-,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,77,01_CP_C_77,1,1,Parken,0.75,Aufpflasterung,-,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,78,01_CP_C_78,1,1,Parken,0.25,Grünstreifen,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,79,01_CP_C_79,1,1,Parken,0.25,Aufpflasterung,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,80,01_CP_C_80,1,1,Parken,0.75,Grünstreifen,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,81,01_CP_C_81,1,1,Parken,0.75,Aufpflasterung,Sperrpfosten,2.0,0.25,Aufpflasterung,schmal,ja,normal,
CP,C,82,01_CP_C_82,1,1,Parken,0.0,-,-,2.0,0.75,Aufpflasterung,schmal,ja,normal,
CP,C,83,01_CP_C_83,1,1,Parken,0.25,Grünstreifen,-,2.0,0.75,Aufpflasterung,schmal,ja,normal,
CP,C,84,01_CP_C_84,1,1,Parken,0.25,Aufpflasterung,-,2.0,0.75,Aufpflasterung,schmal,ja,normal,
CP,C,85,01_CP_C_85,1,1,Parken,0.75,Grünstreifen,-,2.0,0.75,Aufpflasterung,schmal,ja,normal,
