Experiment,Kamera,HVS_lD,SceneID,weight,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Raus
MS,C,1,01_MS_C_1,5,1,Kfz,normal,50,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,2,01_MS_C_2,5,1,Kfz,normal,30,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,3,01_MS_C_3,5,1,Kfz,viel,50,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,4,01_MS_C_4,5,1,Kfz,viel,30,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,5,01_MS_C_5,5,1,Tram,normal,50,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,6,01_MS_C_6,5,1,Tram,normal,30,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,7,01_MS_C_7,5,1,Einbahn,viel,50,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,8,01_MS_C_8,5,1,Einbahn,viel,30,0.0,-,-,0.0,-,-,0.0,-,-,
MS,C,9,01_MS_C_9,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,10,01_MS_C_10,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,11,01_MS_C_11,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,12,01_MS_C_12,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,13,01_MS_C_13,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,14,01_MS_C_14,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,15,01_MS_C_15,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,16,01_MS_C_16,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,17,01_MS_C_17,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,18,01_MS_C_18,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,19,01_MS_C_19,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,20,01_MS_C_20,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,21,01_MS_C_21,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,22,01_MS_C_22,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,23,01_MS_C_23,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,24,01_MS_C_24,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
